class_index,class_name,training_samples,nonuniform_weight
0,n01532829,100,
1,n01558993,100,
2,n01704323,100,
3,n01749939,100,
4,n01770081,100,
5,n01843383,100,
6,n01855672,100,
7,n01910747,100,
8,n01930112,100,
9,n01981276,100,
10,n02074367,100,
11,n02089867,100,
12,n02091244,100,
13,n02091831,100,
14,n02099601,100,
15,n02101006,100,
16,n02105505,100,
17,n02108089,100,
18,n02108551,100,
19,n02108915,100,
20,n02110063,100,
21,n02110341,100,
22,n02111277,100,
23,n02113712,100,
24,n02114548,100,
25,n02116738,100,
26,n02120079,100,
27,n02129165,100,
28,n02138441,100,
29,n02165456,100,
30,n02174001,100,
31,n02219486,100,
32,n02443484,100,
33,n02457408,100,
34,n02606052,100,
35,n02687172,100,
36,n02747177,100,
37,n02795169,100,
38,n02823428,100,
39,n02871525,100,
40,n02950826,100,
41,n02966193,100,
42,n02971356,100,
43,n02981792,100,
44,n03017168,100,
45,n03047690,100,
46,n03062245,100,
47,n03075370,100,
48,n03127925,100,
49,n03146219,100,
50,n03207743,100,
51,n03220513,100,
52,n03272010,100,
53,n03337140,100,
54,n03347037,100,
55,n03400231,100,
56,n03417042,100,
57,n03476684,100,
58,n03527444,100,
59,n03535780,100,
60,n03544143,100,
61,n03584254,100,
62,n03676483,100,
63,n03770439,100,
64,n03773504,100,
65,n03775546,100,
66,n03838899,100,
67,n03854065,100,
68,n03888605,100,
69,n03908618,100,
70,n03924679,100,
71,n03980874,100,
72,n03998194,100,
73,n04067472,100,
74,n04146614,100,
75,n04149813,100,
76,n04243546,100,
77,n04251144,100,
78,n04258138,100,
79,n04275548,100,
80,n04296562,100,
81,n04389033,100,
82,n04418357,100,
83,n04435653,100,
84,n04443257,100,
85,n04509417,100,
86,n04515003,100,
87,n04522168,100,
88,n04596742,100,
89,n04604644,100,
90,n04612504,100,
91,n06794110,100,
92,n07584110,100,
93,n07613480,100,
94,n07697537,100,
95,n07747607,100,
96,n09246464,100,
97,n09256479,100,
98,n13054560,100,
99,n13133613,100,
