class_index,class_name,training_samples,nonuniform_weight
0,n01532829,400,
1,n01558993,400,
2,n01704323,400,
3,n01749939,400,
4,n01770081,400,
5,n01843383,400,
6,n01855672,400,
7,n01910747,400,
8,n01930112,400,
9,n01981276,400,
10,n02074367,400,
11,n02089867,400,
12,n02091244,400,
13,n02091831,400,
14,n02099601,400,
15,n02101006,400,
16,n02105505,400,
17,n02108089,400,
18,n02108551,400,
19,n02108915,400,
20,n02110063,400,
21,n02110341,400,
22,n02111277,400,
23,n02113712,400,
24,n02114548,400,
25,n02116738,400,
26,n02120079,400,
27,n02129165,400,
28,n02138441,400,
29,n02165456,400,
30,n02174001,400,
31,n02219486,400,
32,n02443484,400,
33,n02457408,400,
34,n02606052,400,
35,n02687172,400,
36,n02747177,400,
37,n02795169,400,
38,n02823428,400,
39,n02871525,400,
40,n02950826,400,
41,n02966193,400,
42,n02971356,400,
43,n02981792,400,
44,n03017168,400,
45,n03047690,400,
46,n03062245,400,
47,n03075370,400,
48,n03127925,400,
49,n03146219,400,
50,n03207743,400,
51,n03220513,400,
52,n03272010,400,
53,n03337140,400,
54,n03347037,400,
55,n03400231,400,
56,n03417042,400,
57,n03476684,400,
58,n03527444,400,
59,n03535780,400,
60,n03544143,400,
61,n03584254,400,
62,n03676483,400,
63,n03770439,400,
64,n03773504,400,
65,n03775546,400,
66,n03838899,400,
67,n03854065,400,
68,n03888605,400,
69,n03908618,400,
70,n03924679,400,
71,n03980874,400,
72,n03998194,400,
73,n04067472,400,
74,n04146614,400,
75,n04149813,400,
76,n04243546,400,
77,n04251144,400,
78,n04258138,400,
79,n04275548,400,
80,n04296562,400,
81,n04389033,400,
82,n04418357,400,
83,n04435653,400,
84,n04443257,400,
85,n04509417,400,
86,n04515003,400,
87,n04522168,400,
88,n04596742,400,
89,n04604644,400,
90,n04612504,400,
91,n06794110,400,
92,n07584110,400,
93,n07613480,400,
94,n07697537,400,
95,n07747607,400,
96,n09246464,400,
97,n09256479,400,
98,n13054560,400,
99,n13133613,400,
