class_index,class_name,training_samples,nonuniform_weight
0,n01532829,400,1.0
1,n01558993,400,1.0141014742071979
2,n01704323,400,1.1996605640397648
3,n01749939,400,1.8778618213234126
4,n01770081,400,2.627952854518552
5,n01843383,400,1.7025259259610266
6,n01855672,400,2.9809198306197047
7,n01910747,400,2.1905803468850578
8,n01930112,400,1.5653276248406942
9,n01981276,400,1.4391854689122068
10,n02074367,400,2.1004625602631894
11,n02089867,400,1.5874010519681996
12,n02091244,400,2.3494502720962185
13,n02091831,400,1.5220973211609652
14,n02099601,400,3.197108436175503
15,n02101006,400,3.3342764777816045
16,n02105505,400,2.4502505730894093
17,n02108089,400,3.0229551947249127
18,n02108551,400,3.1088125635418384
19,n02108915,400,1.3048087698820185
20,n02110063,400,1.1829788187396464
21,n02110341,400,1.3799791452632486
22,n02111277,400,1.0576102622210508
23,n02113712,400,1.8006088909937787
24,n02114548,400,2.382580984509277
25,n02116738,400,3.7821115612094554
26,n02120079,400,1.3994388855866493
27,n02129165,400,1.9043424413614862
28,n02138441,400,1.9311964771800174
29,n02165456,400,3.626520133970626
30,n02174001,400,3.835444909838595
31,n02219486,400,1.6097857469590078
32,n02443484,400,4.0
33,n02457408,400,3.152651403721636
34,n02606052,400,2.939468984551198
35,n02687172,400,1.1665290395761165
36,n02747177,400,1.3418676875883773
37,n02795169,400,1.4800609267476315
38,n02823428,400,2.484802718347001
39,n02871525,400,1.7265340513930516
40,n02950826,400,1.3232084970958353
41,n02966193,400,2.665010863914277
42,n02971356,400,2.5553755881661426
43,n02981792,400,1.851749424574581
44,n03017168,400,1.9584291944920027
45,n03047690,400,3.889530337307812
46,n03062245,400,2.2845645273285835
47,n03075370,400,1.6788516428220595
48,n03127925,400,2.5914101511123704
49,n03146219,400,1.0429037814463955
50,n03207743,400,2.4161788888088944
51,n03220513,400,1.360790000174377
52,n03272010,400,1.2337330834345672
53,n03337140,400,1.2511305386891867
54,n03347037,400,2.8185428386063283
55,n03400231,400,2.7407019694402472
56,n03417042,400,2.042453212630728
57,n03476684,400,2.7025914458736664
58,n03527444,400,2.160119477784612
59,n03535780,400,2.014052108766998
60,n03544143,400,1.4594801056814461
61,n03584254,400,1.102985741766848
62,n03676483,400,2.2214707591454514
63,n03770439,400,1.419173036936299
64,n03773504,400,1.2687733237103496
65,n03775546,400,1.6555065597696215
66,n03838899,400,3.526365019984085
67,n03854065,400,1.0284017999892119
68,n03888605,400,3.677659414101696
69,n03908618,400,3.381294691532708
70,n03924679,400,1.6324860991488648
71,n03980874,400,1.0725241260550287
72,n03998194,400,2.898594528569451
73,n04067472,400,1.1185394667552802
74,n04146614,400,3.477329547066204
75,n04149813,400,2.5198420997897464
76,n04243546,400,1.5435611372761615
77,n04251144,400,2.0712548139280487
78,n04258138,400,1.5009319677312445
79,n04275548,400,1.286664898009432
80,n04296562,400,3.242192378325846
81,n04389033,400,3.944378449037471
82,n04418357,400,3.287912070523582
83,n04435653,400,1.7755707261952807
84,n04443257,400,1.2165775465409638
85,n04509417,400,1.1343125221954626
86,n04515003,400,2.2527967717575854
87,n04522168,400,2.858288447746818
88,n04596742,400,3.576091965358555
89,n04604644,400,2.1300821788799253
90,n04612504,400,1.9860459332647549
91,n06794110,400,1.7508807267866193
92,n07584110,400,3.4289759314122916
93,n07613480,400,2.3167802550853867
94,n07697537,400,1.8260001308273788
95,n07747607,400,2.779349907571925
96,n09246464,400,1.0876482973551913
97,n09256479,400,1.1503080009701034
98,n13054560,400,3.72951983347251
99,n13133613,400,3.0655833194328403
