class_index,class_name,training_samples,nonuniform_weight
0,n01532829,40,
1,n01558993,40,
2,n01704323,40,
3,n01749939,40,
4,n01770081,40,
5,n01843383,40,
6,n01855672,40,
7,n01910747,40,
8,n01930112,40,
9,n01981276,40,
10,n02074367,40,
11,n02089867,40,
12,n02091244,40,
13,n02091831,40,
14,n02099601,40,
15,n02101006,40,
16,n02105505,40,
17,n02108089,40,
18,n02108551,40,
19,n02108915,40,
20,n02110063,40,
21,n02110341,40,
22,n02111277,40,
23,n02113712,40,
24,n02114548,40,
25,n02116738,40,
26,n02120079,40,
27,n02129165,40,
28,n02138441,40,
29,n02165456,40,
30,n02174001,40,
31,n02219486,40,
32,n02443484,40,
33,n02457408,40,
34,n02606052,40,
35,n02687172,40,
36,n02747177,40,
37,n02795169,40,
38,n02823428,40,
39,n02871525,40,
40,n02950826,40,
41,n02966193,40,
42,n02971356,40,
43,n02981792,40,
44,n03017168,40,
45,n03047690,40,
46,n03062245,40,
47,n03075370,40,
48,n03127925,40,
49,n03146219,40,
50,n03207743,40,
51,n03220513,40,
52,n03272010,40,
53,n03337140,40,
54,n03347037,40,
55,n03400231,40,
56,n03417042,40,
57,n03476684,40,
58,n03527444,40,
59,n03535780,40,
60,n03544143,40,
61,n03584254,40,
62,n03676483,40,
63,n03770439,40,
64,n03773504,40,
65,n03775546,40,
66,n03838899,40,
67,n03854065,40,
68,n03888605,40,
69,n03908618,40,
70,n03924679,40,
71,n03980874,40,
72,n03998194,40,
73,n04067472,40,
74,n04146614,40,
75,n04149813,40,
76,n04243546,40,
77,n04251144,40,
78,n04258138,40,
79,n04275548,40,
80,n04296562,40,
81,n04389033,40,
82,n04418357,40,
83,n04435653,40,
84,n04443257,40,
85,n04509417,40,
86,n04515003,40,
87,n04522168,40,
88,n04596742,40,
89,n04604644,40,
90,n04612504,40,
91,n06794110,40,
92,n07584110,40,
93,n07613480,40,
94,n07697537,40,
95,n07747607,40,
96,n09246464,40,
97,n09256479,40,
98,n13054560,40,
99,n13133613,40,
